,SiPM,ped_mean,ped_std,ped_median,ped_mode,light_mean,light_std,a,a_err,b,b_err,ab_cov
0,0,80.46648608834082,9.254997777935335,80.0,81.0,174.60350795755969,94.0185863558811,38.000000000078465,1.6903085094642099,69.00000000014833,0.37796447301086394,
1,1,80.34864685057144,9.027403252923403,80.0,81.0,216.72256631299734,143.6791822546038,40.85714288530953,1.5583873903313696,73.80952380499356,0.3086066797868773,
2,2,78.98025518568679,7.415870229904805,78.0,77.0,154.11370855437667,80.80980966633165,46.00000000009606,1.6903085054173788,68.28571428586105,0.37796447225677393,
3,3,80.14718321571982,8.3992649928399,80.0,79.0,207.65861903183023,107.18180244601514,44.14285714294897,1.5583874808310079,67.8571428572887,0.308606706035804,
4,4,81.96447834248104,8.267872348135223,82.0,81.0,179.78831399204245,95.29360826948772,47.71428571438552,1.690308474875012,68.7142857144334,0.3779644608097705,
5,5,82.40880794544634,8.437824736930338,82.0,83.0,251.85937334217508,123.59313597468173,45.333333171093486,1.452966339462401,68.93333335792751,0.2581988968242145,
6,6,80.70546724641814,8.440726391842865,80.0,81.0,218.9661273209549,115.00452887197754,42.00000000475256,1.558387445215995,71.66666666561053,0.3086066995344107,
7,7,79.59755981657044,8.906972609063516,79.0,77.0,240.29149867374005,122.9823458078978,35.33333333340608,1.4529661861481005,70.66666666681861,0.2581988573424774,
8,8,82.11848076603226,8.08242219074631,82.0,81.0,232.96460875331564,116.89223576269893,47.888889207804475,1.452966267349966,69.13333328304277,0.2581988776988337,
9,9,80.03290802385534,7.598837177879088,79.0,77.0,263.2048292440318,127.72868661553386,44.666666816930835,1.3662602025503612,69.98787876758796,0.22019277128862647,
10,10,82.0991992776867,8.583891678370039,82.0,81.0,192.69308687002652,101.6353477747928,43.714285714376686,1.558387332415364,68.95238095252918,0.30860666836352496,
11,11,79.86561170907882,7.349372747975659,79.0,79.0,270.09265915119363,129.42695842454415,46.00000000118716,1.3662601049657555,70.10909090887506,0.2201927537160341,
12,12,80.3623327868463,7.596109561895702,80.0,79.0,200.90214854111406,104.46344971316034,46.85714285724063,1.5583874065488548,69.47619047633984,0.3086066823623026,
13,13,80.64655356760996,7.91503207992771,80.0,79.0,300.63307194960214,139.53576998476038,48.54545454555601,1.293339614040799,70.36363636378766,0.19069252427410321,
14,14,81.15860004276855,8.04924719462858,81.0,79.0,230.3695523872679,114.78942578291799,43.77777788928011,1.4529663531334491,67.73333331507779,0.2581988910744916,
15,15,80.82855751182075,8.465612929781802,80.0,79.0,286.2772877984085,137.40303409039913,44.40000000009238,1.3662601636920089,71.12727272742569,0.22019276180443192,
16,16,78.87504455057382,8.13853921141152,78.0,77.0,222.9291196949602,114.37089343567142,43.77777774188234,1.4529663553133267,69.60000000614635,0.2581988970060574,
17,17,81.42418086344952,8.567977237946211,81.0,79.0,263.43969827586204,128.830121755464,44.39999997362269,1.3662600846914843,70.18181818601761,0.22019275732726046,
18,18,79.21261909853399,6.389913920919593,78.0,77.0,193.3480421087533,98.7234489177933,50.285714443309445,1.5583874184428372,67.7142856867904,0.3086066942269567,
19,19,79.20495639983842,7.055859823984794,78.0,77.0,282.38664622015915,132.2030706341194,45.46666662061811,1.3662601169388566,69.26060606698154,0.22019275627761814,
20,20,77.60110010216931,6.377503976752715,77.0,75.0,187.08303879310344,98.01192079560543,46.57142907710163,1.690308479795465,70.99999989886538,0.37796447079948337,
21,21,80.48013638415662,7.308097802519378,80.0,79.0,241.09068302387269,118.16284912199198,49.22222222232539,1.4529663391899204,68.8666666668147,0.2581988890331651,
