XYDATA;BSO.jws
320,0000;78,3249
320,5000;78,4782
321,0000;67,2461
321,5000;68,0683
322,0000;62,7527
322,5000;65,5187
323,0000;60,7957
323,5000;56,6687
324,0000;59,6096
324,5000;57,3295
325,0000;57,5895
325,5000;59,2227
326,0000;56,3436
326,5000;51,1394
327,0000;50,8039
327,5000;54,441
328,0000;53,9653
328,5000;44,3678
329,0000;48,8459
329,5000;47,9831
330,0000;46,5219
330,5000;45,0561
331,0000;46,5037
331,5000;52,4624
332,0000;51,9809
332,5000;55,4386
333,0000;47,9192
333,5000;48,1957
334,0000;55,98
334,5000;51,9694
335,0000;54,6641
335,5000;52,925
336,0000;52,5023
336,5000;56,1772
337,0000;62,6454
337,5000;61,7232
338,0000;63,0761
338,5000;63,9809
339,0000;65,9255
339,5000;69,2505
340,0000;69,6786
340,5000;73,6199
341,0000;69,8354
341,5000;69,337
342,0000;68,3861
342,5000;78,5729
343,0000;79,7003
343,5000;80,5538
344,0000;79,1299
344,5000;80,9235
345,0000;81,0755
345,5000;95,4563
346,0000;93,2435
346,5000;95,3577
347,0000;103,077
347,5000;98,9264
348,0000;104,451
348,5000;107,832
349,0000;108,169
349,5000;116,002
350,0000;113,246
350,5000;115,686
351,0000;125,763
351,5000;123,12
352,0000;125,523
352,5000;135,455
353,0000;143,222
353,5000;136,039
354,0000;142,268
354,5000;153,138
355,0000;152,349
355,5000;161,302
356,0000;166,3
356,5000;158,809
357,0000;175,904
357,5000;194,688
358,0000;184,132
358,5000;183,7
359,0000;188,151
359,5000;198,515
360,0000;207,77
360,5000;210,496
361,0000;214,756
361,5000;222,721
362,0000;231,711
362,5000;243,246
363,0000;250,64
363,5000;261,221
364,0000;264,975
364,5000;278,087
365,0000;283,619
365,5000;286,415
366,0000;305,555
366,5000;313,083
367,0000;329,738
367,5000;331,371
368,0000;344,673
368,5000;350,48
369,0000;362,701
369,5000;374,856
370,0000;382,433
370,5000;390,536
371,0000;407,932
371,5000;422,029
372,0000;418,902
372,5000;453,102
373,0000;447,568
373,5000;459,928
374,0000;489,195
374,5000;496,076
375,0000;519,416
375,5000;542,723
376,0000;553,424
376,5000;560,205
377,0000;575,108
377,5000;577,979
378,0000;599,703
378,5000;611,268
379,0000;617,412
379,5000;647,58
380,0000;681,888
380,5000;678,009
381,0000;689,514
381,5000;713,118
382,0000;734,375
382,5000;759,212
383,0000;778,43
383,5000;795,809
384,0000;800,223
384,5000;820,592
385,0000;851,355
385,5000;880,213
386,0000;880,892
386,5000;902,582
387,0000;936,428
387,5000;938,051
388,0000;965,063
388,5000;985,891
