XYDATA;GAGG_medium_300nm.jws
320,0000;-0,932094
320,5000;-0,876123
321,0000;-0,825154
321,5000;-0,906254
322,0000;-0,888508
322,5000;-0,882723
323,0000;-0,958283
323,5000;-0,938972
324,0000;-0,868909
324,5000;-0,959904
325,0000;-0,85583
325,5000;-0,771574
326,0000;-1,02496
326,5000;-1,02171
327,0000;-0,963746
327,5000;-0,950066
328,0000;-0,876001
328,5000;-0,95444
329,0000;-0,921237
329,5000;-1,01333
330,0000;-0,836127
330,5000;-0,895704
331,0000;-0,91517
331,5000;-0,907216
332,0000;-0,870766
332,5000;-1,00499
333,0000;-0,961475
333,5000;-0,919327
334,0000;-0,951002
334,5000;-0,978567
335,0000;-0,940393
335,5000;-0,852744
336,0000;-0,955981
336,5000;-0,981437
337,0000;-0,851708
337,5000;-0,931702
338,0000;-0,925396
338,5000;-0,852818
339,0000;-0,946812
339,5000;-1,03453
340,0000;-0,85173
340,5000;-0,858676
341,0000;-0,860181
341,5000;-0,910251
342,0000;-0,99278
342,5000;-0,894047
343,0000;-0,848618
343,5000;-0,899943
344,0000;-0,901437
344,5000;-0,868115
345,0000;-0,860814
345,5000;-0,852657
346,0000;-0,948208
346,5000;-0,866229
347,0000;-0,912102
347,5000;-0,877465
348,0000;-0,893757
348,5000;-0,839432
349,0000;-0,867529
349,5000;-0,928954
350,0000;-0,9199
350,5000;-0,832263
351,0000;-1,04139
351,5000;-0,91454
352,0000;-0,917502
352,5000;-0,943227
353,0000;-0,90447
353,5000;-0,97573
354,0000;-0,951559
354,5000;-0,924819
355,0000;-0,978572
355,5000;-0,945118
356,0000;-0,884268
356,5000;-0,860153
357,0000;-0,969422
357,5000;-0,87279
358,0000;-0,945097
358,5000;-0,936565
359,0000;-0,828599
359,5000;-0,945699
360,0000;-0,914886
360,5000;-0,912922
361,0000;-0,870537
361,5000;-0,963053
362,0000;-0,921334
362,5000;-0,975678
363,0000;-0,839616
363,5000;-0,948689
364,0000;-0,934274
364,5000;-1,00631
365,0000;-0,912883
365,5000;-0,920046
366,0000;-0,879174
366,5000;-0,90309
367,0000;-0,967898
367,5000;-0,881636
368,0000;-0,896098
368,5000;-1,0169
369,0000;-0,890387
369,5000;-0,881594
370,0000;-0,916235
370,5000;-0,979743
371,0000;-0,927502
371,5000;-0,891704
372,0000;-0,962346
372,5000;-0,841201
373,0000;-0,932614
373,5000;-0,930401
374,0000;-0,799936
374,5000;-0,984375
375,0000;-0,957447
375,5000;-0,902028
376,0000;-0,943415
376,5000;-0,957823
377,0000;-0,962561
377,5000;-0,916197
378,0000;-1,0112
378,5000;-0,855708
379,0000;-0,909757
379,5000;-0,931585
380,0000;-0,896777
380,5000;-0,946735
381,0000;-0,857811
381,5000;-0,911303
382,0000;-0,945414
382,5000;-0,920835
383,0000;-0,896478
383,5000;-0,955659
384,0000;-0,962511
384,5000;-0,90818
385,0000;-0,914036
385,5000;-0,941215
386,0000;-0,969729
386,5000;-0,904691
387,0000;-0,962997
387,5000;-0,96217
388,0000;-1,01134
