XYDATA;LYSO.jws
320,0000;4,14163
320,5000;4,97085
321,0000;4,83299
321,5000;4,48957
322,0000;4,50319
322,5000;5,23431
323,0000;4,4655
323,5000;6,08201
324,0000;5,30472
324,5000;5,25502
325,0000;3,94863
325,5000;4,49762
326,0000;5,84113
326,5000;5,4263
327,0000;5,10128
327,5000;7,11712
328,0000;3,90655
328,5000;4,6905
329,0000;3,7652
329,5000;4,05584
330,0000;4,22722
330,5000;4,36389
331,0000;3,47471
331,5000;4,30704
332,0000;5,88095
332,5000;5,81475
333,0000;3,59349
333,5000;3,62918
334,0000;5,52511
334,5000;5,36969
335,0000;4,88051
335,5000;4,78405
336,0000;4,97011
336,5000;4,32118
337,0000;4,06683
337,5000;4,49238
338,0000;4,48364
338,5000;4,68214
339,0000;6,15264
339,5000;6,35783
340,0000;4,56281
340,5000;5,58829
341,0000;4,48336
341,5000;3,78164
342,0000;3,33046
342,5000;4,95369
343,0000;3,49633
343,5000;4,44388
344,0000;4,50357
344,5000;5,2924
345,0000;4,9029
345,5000;5,32456
346,0000;4,09898
346,5000;4,58482
347,0000;4,95556
347,5000;4,212
348,0000;5,36634
348,5000;5,44374
349,0000;5,34838
349,5000;3,91551
350,0000;4,45912
350,5000;4,50001
351,0000;4,65974
351,5000;4,49167
352,0000;4,86222
352,5000;4,15441
353,0000;4,5575
353,5000;4,90677
354,0000;5,29191
354,5000;4,83706
355,0000;5,10141
355,5000;5,10163
356,0000;3,61452
356,5000;5,37843
357,0000;5,6015
357,5000;4,6658
358,0000;6,25518
358,5000;5,54861
359,0000;7,06043
359,5000;7,5978
360,0000;7,0545
360,5000;7,05276
361,0000;7,18463
361,5000;9,02136
362,0000;9,13761
362,5000;10,0815
363,0000;10,6369
363,5000;12,1668
364,0000;12,5942
364,5000;13,5561
365,0000;16,2828
365,5000;15,7436
366,0000;19,7797
366,5000;21,236
367,0000;24,6834
367,5000;30,1845
368,0000;34,8372
368,5000;43,8218
369,0000;47,3553
369,5000;62,4702
370,0000;63,5461
370,5000;72,5508
371,0000;84,4914
371,5000;106,182
372,0000;116,92
372,5000;147,632
373,0000;163,561
373,5000;191,689
374,0000;217,74
374,5000;271,87
375,0000;324,889
375,5000;362,146
376,0000;419,671
376,5000;505,064
377,0000;599,813
377,5000;654,882
378,0000;767,249
378,5000;895,908
379,0000;994,966
379,5000;1182,44
380,0000;1284,25
380,5000;1487,27
381,0000;1657,78
381,5000;1838,3
382,0000;2050,9
382,5000;2218,57
383,0000;2437,38
383,5000;2716,16
384,0000;2934,94
384,5000;3188,6
385,0000;3415,42
385,5000;3674,45
386,0000;3946,29
386,5000;4197,03
387,0000;4405,37
387,5000;4705,87
388,0000;4944,51
388,5000;5237,66
389,0000;5539,24
389,5000;5716,55
390,0000;5962,01
390,5000;6210,58
391,0000;6457,53
391,5000;6693,12
392,0000;6962,5
392,5000;7161,7
393,0000;7343,56
393,5000;7575,06
394,0000;7817,95
394,5000;8060,82
395,0000;8245,17
395,5000;8447,19
396,0000;8671,93
396,5000;8931,04
397,0000;9220,42
397,5000;9346,66
398,0000;9538,44
398,5000;9799,58
399,0000;10000
399,5000;10000
400,0000;10000
400,5000;10000
401,0000;10000
401,5000;10000
402,0000;10000
402,5000;10000
403,0000;10000
403,5000;10000
404,0000;10000
404,5000;10000
405,0000;10000
405,5000;10000
406,0000;10000
406,5000;10000
407,0000;10000
407,5000;10000
408,0000;10000
408,5000;10000
409,0000;10000
409,5000;10000
410,0000;10000
410,5000;10000
411,0000;10000
411,5000;10000
412,0000;10000
412,5000;10000
413,0000;10000
413,5000;10000
414,0000;10000
414,5000;10000
415,0000;10000
415,5000;10000
416,0000;10000
416,5000;10000
417,0000;10000
417,5000;10000
418,0000;10000
418,5000;10000
419,0000;10000
419,5000;10000
420,0000;10000
420,5000;10000
421,0000;10000
421,5000;10000
422,0000;10000
422,5000;10000
423,0000;10000
423,5000;10000
424,0000;10000
424,5000;10000
425,0000;10000
425,5000;10000
426,0000;10000
426,5000;10000
427,0000;10000
427,5000;10000
428,0000;10000
428,5000;10000
429,0000;10000
429,5000;10000
430,0000;10000
430,5000;10000
431,0000;10000
431,5000;10000
432,0000;10000
432,5000;10000
433,0000;10000
433,5000;10000
434,0000;10000
434,5000;10000
435,0000;10000
435,5000;10000
436,0000;10000
436,5000;10000
437,0000;10000
437,5000;10000
438,0000;10000
438,5000;10000
439,0000;10000
439,5000;10000
440,0000;10000
440,5000;10000
441,0000;10000
441,5000;10000
442,0000;10000
442,5000;10000
443,0000;10000
443,5000;10000
444,0000;10000
444,5000;10000
445,0000;10000
445,5000;10000
446,0000;10000
446,5000;10000
447,0000;10000
447,5000;10000
448,0000;10000
448,5000;10000
449,0000;10000
