XYDATA;LYSO_medium.jws
320,0000;-0,731622
320,5000;-0,637105
321,0000;-0,695055
321,5000;-0,662324
322,0000;-0,561654
322,5000;-0,643285
323,0000;-0,676939
323,5000;-0,703243
324,0000;-0,710579
324,5000;-0,763576
325,0000;-0,688737
325,5000;-0,592749
326,0000;-0,792218
326,5000;-0,734113
327,0000;-0,755742
327,5000;-0,671163
328,0000;-0,63975
328,5000;-0,675989
329,0000;-0,672373
329,5000;-0,63754
330,0000;-0,700009
330,5000;-0,588382
331,0000;-0,631418
331,5000;-0,649126
332,0000;-0,612588
332,5000;-0,657188
333,0000;-0,847814
333,5000;-0,668005
334,0000;-0,704243
334,5000;-0,778876
335,0000;-0,693786
335,5000;-0,600781
336,0000;-0,700613
336,5000;-0,542504
337,0000;-0,515552
337,5000;-0,690407
338,0000;-0,715156
338,5000;-0,657811
339,0000;-0,620267
339,5000;-0,76632
340,0000;-0,595464
340,5000;-0,68142
341,0000;-0,685413
341,5000;-0,810374
342,0000;-0,680241
342,5000;-0,709129
343,0000;-0,680952
343,5000;-0,636576
344,0000;-0,777755
344,5000;-0,640135
345,0000;-0,74172
345,5000;-0,742608
346,0000;-0,678944
346,5000;-0,720673
347,0000;-0,761601
347,5000;-0,546675
348,0000;-0,666545
348,5000;-0,710295
349,0000;-0,671981
349,5000;-0,672639
350,0000;-0,697768
350,5000;-0,612422
351,0000;-0,685609
351,5000;-0,775528
352,0000;-0,645771
352,5000;-0,72735
353,0000;-0,664364
353,5000;-0,664946
354,0000;-0,628893
354,5000;-0,679627
355,0000;-0,611346
355,5000;-0,644269
356,0000;-0,66542
356,5000;-0,688802
357,0000;-0,597236
357,5000;-0,587752
358,0000;-0,523328
358,5000;-0,698812
359,0000;-0,541399
359,5000;-0,563234
360,0000;-0,477882
360,5000;-0,558832
361,0000;-0,548101
361,5000;-0,38083
362,0000;-0,384698
362,5000;-0,403546
363,0000;-0,331826
363,5000;-0,100245
364,0000;-0,135437
364,5000;0,0251214
365,0000;0,137071
365,5000;0,00971011
366,0000;0,610657
366,5000;0,513862
367,0000;1,20875
367,5000;1,30053
368,0000;1,67419
368,5000;2,14824
369,0000;2,39336
369,5000;3,24461
370,0000;4,04049
370,5000;4,3438
371,0000;5,36057
371,5000;6,44396
372,0000;7,82134
372,5000;9,98283
373,0000;11,5495
373,5000;13,1023
374,0000;16,0905
374,5000;19,355
375,0000;23,0315
375,5000;26,3813
376,0000;30,999
376,5000;36,0173
377,0000;42,8782
377,5000;48,5062
378,0000;56,1906
378,5000;64,3397
379,0000;75,3145
379,5000;84,9707
380,0000;93,805
380,5000;107,913
381,0000;121,877
381,5000;135,221
382,0000;149,887
382,5000;162,459
383,0000;181,785
383,5000;198,978
384,0000;217,424
384,5000;236,018
385,0000;251,717
385,5000;269,931
386,0000;290,708
386,5000;312,477
387,0000;326,974
387,5000;347,632
388,0000;368,488
388,5000;384,941
389,0000;406,221
389,5000;427,601
390,0000;444,037
390,5000;459,246
391,0000;481,762
391,5000;494,522
392,0000;514,631
392,5000;526,305
393,0000;553,116
393,5000;564,324
394,0000;582,674
394,5000;597,564
395,0000;619,432
395,5000;630,459
396,0000;650,957
396,5000;669,201
397,0000;681,276
397,5000;701,389
398,0000;716,617
398,5000;734,04
399,0000;747,093
399,5000;772,494
400,0000;784,803
400,5000;803,402
401,0000;827,259
401,5000;843,821
402,0000;861,03
402,5000;883,463
403,0000;904,031
403,5000;921,327
404,0000;945,113
404,5000;961,914
405,0000;990,764
405,5000;1016,24
406,0000;1042,78
406,5000;1055,81
407,0000;1074,12
407,5000;1106,01
408,0000;1129,29
408,5000;1154,57
409,0000;1175,36
409,5000;1202,96
410,0000;1226,63
410,5000;1251,03
411,0000;1266,72
411,5000;1285,36
412,0000;1321,3
412,5000;1342,35
413,0000;1375,07
413,5000;1384
414,0000;1400,37
414,5000;1431,62
415,0000;1449,29
415,5000;1474,07
416,0000;1489,34
416,5000;1505,09
417,0000;1521,62
417,5000;1538,11
418,0000;1556,42
418,5000;1564,85
419,0000;1584,7
419,5000;1601,43
420,0000;1607,23
420,5000;1614,97
421,0000;1626,68
421,5000;1638,5
422,0000;1648,11
422,5000;1653,81
423,0000;1663,64
423,5000;1673,93
424,0000;1677,25
424,5000;1681,89
425,0000;1684,59
425,5000;1691,75
426,0000;1687,88
426,5000;1690,02
427,0000;1684,6
427,5000;1688,79
428,0000;1690,75
428,5000;1683,95
429,0000;1683,41
429,5000;1678,83
430,0000;1672,39
430,5000;1667,46
431,0000;1660,54
431,5000;1652,47
432,0000;1642,46
432,5000;1628,19
433,0000;1628,85
433,5000;1625,15
434,0000;1610,98
434,5000;1595,98
435,0000;1593,57
435,5000;1577,39
436,0000;1556,71
436,5000;1549,63
437,0000;1538,32
437,5000;1527,87
438,0000;1509,32
438,5000;1502,53
439,0000;1487,19
439,5000;1475,23
440,0000;1456,64
440,5000;1442,54
441,0000;1437,62
