XYDATA;LYSO_very_low.jws
320,0000;-1,26762
320,5000;-1,2431
321,0000;-1,25798
321,5000;-1,32188
322,0000;-1,27912
322,5000;-1,27586
323,0000;-1,25873
323,5000;-1,28718
324,0000;-1,2934
324,5000;-1,24929
325,0000;-1,26665
325,5000;-1,22301
326,0000;-1,27742
326,5000;-1,22456
327,0000;-1,21378
327,5000;-1,26494
328,0000;-1,27164
328,5000;-1,25775
329,0000;-1,26073
329,5000;-1,29209
330,0000;-1,21591
330,5000;-1,22784
331,0000;-1,24979
331,5000;-1,26136
332,0000;-1,22499
332,5000;-1,25884
333,0000;-1,2266
333,5000;-1,24268
334,0000;-1,25082
334,5000;-1,22922
335,0000;-1,22326
335,5000;-1,22221
336,0000;-1,18273
336,5000;-1,20293
337,0000;-1,20102
337,5000;-1,27742
338,0000;-1,24067
338,5000;-1,20286
339,0000;-1,21185
339,5000;-1,19704
340,0000;-1,24215
340,5000;-1,21952
341,0000;-1,23815
341,5000;-1,22008
342,0000;-1,21336
342,5000;-1,22326
343,0000;-1,24802
343,5000;-1,2156
344,0000;-1,21235
344,5000;-1,22929
345,0000;-1,26902
345,5000;-1,21439
346,0000;-1,2063
346,5000;-1,21935
347,0000;-1,24551
347,5000;-1,15741
348,0000;-1,23576
348,5000;-1,26948
349,0000;-1,17557
349,5000;-1,18274
350,0000;-1,15242
350,5000;-1,21776
351,0000;-1,24582
351,5000;-1,22814
352,0000;-1,24521
352,5000;-1,25849
353,0000;-1,21823
353,5000;-1,21531
354,0000;-1,18176
354,5000;-1,20702
355,0000;-1,18238
355,5000;-1,20413
356,0000;-1,204
356,5000;-1,19128
357,0000;-1,20432
357,5000;-1,19967
358,0000;-1,20798
358,5000;-1,15149
359,0000;-1,20045
359,5000;-1,18862
360,0000;-1,15504
360,5000;-1,21463
361,0000;-1,15853
361,5000;-1,14572
362,0000;-1,1771
362,5000;-1,1878
363,0000;-1,19344
363,5000;-1,14057
364,0000;-1,16691
364,5000;-1,18058
365,0000;-1,12268
365,5000;-1,10825
366,0000;-1,11015
366,5000;-1,07351
367,0000;-1,10517
367,5000;-1,01266
368,0000;-0,9756
368,5000;-0,996956
369,0000;-0,907926
369,5000;-0,888093
370,0000;-0,888677
370,5000;-0,765552
371,0000;-0,693357
371,5000;-0,65607
372,0000;-0,513635
372,5000;-0,365074
373,0000;-0,256977
373,5000;-0,0860729
374,0000;0,0298785
374,5000;0,420414
375,0000;0,690522
375,5000;0,918048
376,0000;1,27323
376,5000;1,60367
377,0000;2,20319
377,5000;2,53591
378,0000;3,2701
378,5000;3,92406
379,0000;4,57903
379,5000;5,39668
380,0000;6,20403
380,5000;7,46302
381,0000;8,425
381,5000;9,38197
382,0000;10,6384
382,5000;11,8645
383,0000;12,9773
383,5000;14,4548
384,0000;15,8264
384,5000;17,1575
385,0000;18,4793
385,5000;20,1234
386,0000;21,5107
386,5000;22,9993
387,0000;24,8459
387,5000;26,0842
388,0000;27,4904
388,5000;28,9474
389,0000;30,9417
389,5000;32,1096
390,0000;33,3549
390,5000;34,5527
391,0000;36,3457
391,5000;37,8352
392,0000;39,2173
392,5000;40,7972
393,0000;41,6652
393,5000;43,2286
394,0000;44,4118
394,5000;45,7922
395,0000;47,3902
395,5000;48,5651
396,0000;49,5869
396,5000;51,0135
397,0000;52,5536
397,5000;53,6692
398,0000;54,9338
398,5000;56,3467
399,0000;57,9922
399,5000;59,1504
400,0000;60,4172
400,5000;61,6077
401,0000;64,0624
401,5000;65,4606
402,0000;66,5359
402,5000;68,2692
403,0000;69,712
403,5000;71,6268
404,0000;73,7729
404,5000;75,1876
405,0000;77,2157
405,5000;78,1846
406,0000;80,0988
406,5000;82,448
407,0000;83,964
407,5000;86,5392
408,0000;88,1579
408,5000;90,0073
409,0000;91,896
409,5000;93,7975
410,0000;95,9199
410,5000;97,6923
411,0000;99,8362
411,5000;101,559
412,0000;103,352
412,5000;104,335
413,0000;106,568
413,5000;109,028
414,0000;110,767
414,5000;112,399
415,0000;113,676
415,5000;115,03
416,0000;117,067
416,5000;118,126
417,0000;119,221
417,5000;120,208
418,0000;121,787
418,5000;123,386
419,0000;124,455
419,5000;125,014
420,0000;126,599
420,5000;127,106
421,0000;128,638
421,5000;129,022
422,0000;129,716
422,5000;130,172
423,0000;131,324
423,5000;132,03
424,0000;132,393
424,5000;132,413
425,0000;133,161
425,5000;132,82
426,0000;133,146
426,5000;133,099
427,0000;133,254
427,5000;133,303
428,0000;133,707
428,5000;132,781
429,0000;132,767
429,5000;132,169
430,0000;132,363
430,5000;131,916
431,0000;131,235
431,5000;130,705
432,0000;130,307
432,5000;129,448
433,0000;128,706
433,5000;128,887
434,0000;126,926
434,5000;126,146
435,0000;125,614
435,5000;124,55
436,0000;123,8
436,5000;122,804
437,0000;121,84
437,5000;121,296
438,0000;120,064
438,5000;118,671
439,0000;117,593
439,5000;116,56
440,0000;115,975
440,5000;114,231
441,0000;113,133
441,5000;112,621
442,0000;111,185
442,5000;109,954
443,0000;108,849
443,5000;107,344
444,0000;106,42
444,5000;105,135
445,0000;104,213
445,5000;103,055
446,0000;101,815
446,5000;100,829
447,0000;99,6222
447,5000;98,1351
448,0000;96,8606
448,5000;95,7116
449,0000;95,0156
449,5000;92,8805
450,0000;92,2618
450,5000;91,1502
451,0000;89,8094
451,5000;89,3178
452,0000;87,5024
452,5000;86,6092
453,0000;85,5415
453,5000;84,3531
454,0000;82,783
454,5000;81,7143
455,0000;80,7611
455,5000;80,0074
456,0000;78,2851
456,5000;77,6348
457,0000;76,1514
457,5000;74,6713
458,0000;74,5626
458,5000;73,2106
459,0000;72,054
459,5000;71,6688
460,0000;70,4257
460,5000;69,38
461,0000;68,1964
461,5000;67,2004
462,0000;66,71
462,5000;65,3297
463,0000;65,4647
463,5000;64,2968
464,0000;63,3629
464,5000;62,747
465,0000;61,7673
465,5000;61,5218
466,0000;60,6305
466,5000;59,3327
467,0000;59,0324
467,5000;57,6301
468,0000;57,1248
468,5000;56,574
469,0000;56,2057
469,5000;55,3879
470,0000;54,8323
470,5000;54,4273
471,0000;53,2226
471,5000;52,6032
472,0000;52,3686
472,5000;51,5167
473,0000;50,8619
473,5000;50,2252
474,0000;49,3865
474,5000;48,8129
475,0000;48,3382
475,5000;47,8653
476,0000;47,1238
476,5000;46,5586
477,0000;46,1558
477,5000;45,4776
478,0000;44,7075
478,5000;44,4809
479,0000;43,8406
479,5000;42,7774
480,0000;43,0731
480,5000;42,278
481,0000;42,032
481,5000;41,4075
482,0000;40,9281
482,5000;40,2458
483,0000;40,1317
483,5000;39,1914
484,0000;39,0934
484,5000;38,8563
485,0000;38,0138
485,5000;37,3829
486,0000;37,2025
486,5000;36,3958
487,0000;36,492
487,5000;35,8786
488,0000;35,6814
488,5000;35,2036
489,0000;34,7777
489,5000;34,8221
490,0000;34,4363
490,5000;34,0424
491,0000;33,475
491,5000;32,8725
492,0000;32,6931
492,5000;31,7456
493,0000;31,4757
493,5000;31,1152
494,0000;30,462
494,5000;29,8865
495,0000;29,4975
495,5000;28,7945
496,0000;28,2102
496,5000;27,6358
497,0000;27,1192
497,5000;26,6466
498,0000;26,1775
498,5000;25,6679
499,0000;25,1555
499,5000;24,6824
500,0000;24,1434
500,5000;23,7359
501,0000;23,228
501,5000;22,8452
502,0000;22,496
502,5000;22,4446
503,0000;21,9946
503,5000;21,4772
504,0000;21,2184
504,5000;20,7846
505,0000;20,605
505,5000;20,1985
506,0000;19,7536
506,5000;19,6723
507,0000;19,5111
507,5000;19,2887
508,0000;18,9136
508,5000;18,7014
509,0000;18,3094
509,5000;18,2032
510,0000;18,1039
510,5000;17,6874
511,0000;17,5019
511,5000;17,0304
512,0000;17,0384
512,5000;16,9773
513,0000;16,7199
513,5000;16,8591
514,0000;16,6301
514,5000;16,3409
515,0000;16,0732
515,5000;15,8126
516,0000;15,7388
516,5000;15,6279
517,0000;15,4047
517,5000;15,2291
518,0000;15,1162
518,5000;15,1896
519,0000;15,0426
519,5000;14,8308
520,0000;14,6293
520,5000;14,5777
521,0000;14,6606
521,5000;14,1608
522,0000;14,3552
522,5000;14,1881
523,0000;14,2224
523,5000;14,0436
524,0000;14,0404
524,5000;13,7244
525,0000;13,7765
525,5000;13,7167
526,0000;13,8466
526,5000;13,7541
527,0000;13,5589
527,5000;13,4934
528,0000;13,6216
528,5000;13,3965
529,0000;13,5606
529,5000;13,4519
530,0000;13,0383
530,5000;13,1292
531,0000;13,1794
531,5000;12,8082
532,0000;12,9828
532,5000;12,856
533,0000;12,7516
533,5000;12,6291
534,0000;12,6223
534,5000;12,4227
535,0000;12,4499
535,5000;12,4777
536,0000;12,3073
536,5000;12,2368
537,0000;12,0471
537,5000;11,7175
538,0000;11,9121
538,5000;11,5466
539,0000;11,8677
539,5000;11,321
540,0000;11,5242
540,5000;11,1338
541,0000;11,056
541,5000;11,168
542,0000;11,0379
542,5000;11,1452
543,0000;10,8708
543,5000;10,6128
544,0000;10,4784
544,5000;10,494
545,0000;10,5024
545,5000;10,2869
546,0000;10,2212
546,5000;9,89812
547,0000;9,87634
547,5000;9,99189
548,0000;9,8391
548,5000;9,69747
549,0000;9,60164
549,5000;9,57994
550,0000;9,35529
550,5000;9,01793
551,0000;9,03347
551,5000;9,03468
552,0000;8,96251
552,5000;8,83382
553,0000;8,78647
553,5000;8,39447
554,0000;8,40164
554,5000;8,2757
555,0000;8,22698
555,5000;8,29287
556,0000;7,99527
556,5000;7,97664
557,0000;7,97566
557,5000;7,88735
558,0000;7,65607
558,5000;7,56804
559,0000;7,58488
559,5000;7,43585
560,0000;7,40648
560,5000;7,44235
561,0000;6,93766
561,5000;7,11253
562,0000;7,03472
562,5000;6,72176
563,0000;6,68352
563,5000;6,57017
564,0000;6,485
564,5000;6,44736
565,0000;6,28508
565,5000;6,33802
566,0000;6,07693
566,5000;6,07588
567,0000;6,07323
567,5000;5,7422
568,0000;5,99574
568,5000;5,66219
569,0000;5,65459
569,5000;5,47596
570,0000;5,59356
570,5000;5,32515
571,0000;5,38547
571,5000;5,12963
572,0000;5,04661
572,5000;5,1952
573,0000;5,01391
573,5000;4,78114
574,0000;4,83124
574,5000;4,76267
575,0000;4,65197
575,5000;4,58789
576,0000;4,49993
576,5000;4,33751
577,0000;4,32774
577,5000;4,28004
578,0000;4,06914
578,5000;4,21047
579,0000;4,08052
579,5000;4,03329
580,0000;3,94707
580,5000;3,76978
581,0000;3,79863
581,5000;3,77244
582,0000;3,63834
582,5000;3,61423
583,0000;3,53516
583,5000;3,46276
584,0000;3,19625
584,5000;3,32737
585,0000;3,36846
585,5000;3,17224
586,0000;3,08377
586,5000;3,11629
587,0000;3,14092
587,5000;2,96434
588,0000;2,98822
588,5000;2,81189
589,0000;2,81945
589,5000;2,73126
590,0000;2,79696
590,5000;2,56892
591,0000;2,54894
591,5000;2,49607
592,0000;2,58757
592,5000;2,30401
593,0000;2,436
593,5000;2,2986
594,0000;2,13079
594,5000;2,21537
595,0000;2,12762
595,5000;2,01718
596,0000;2,1604
596,5000;2,04581
597,0000;1,98817
597,5000;1,89414
598,0000;1,86647
598,5000;1,84027
599,0000;1,84448
599,5000;1,69426
600,0000;1,69932
600,5000;1,58075
601,0000;1,55462
601,5000;1,54402
602,0000;1,50887
602,5000;1,53056
603,0000;1,44718
603,5000;1,40846
604,0000;1,37209
604,5000;1,34979
605,0000;1,32349
605,5000;1,26812
606,0000;1,23099
606,5000;1,23331
607,0000;1,12777
607,5000;1,11727
608,0000;1,07109
608,5000;1,11576
609,0000;1,04036
609,5000;1,01209
610,0000;0,973417
610,5000;1,01073
611,0000;0,978825
611,5000;0,842696
612,0000;0,811505
612,5000;0,866014
613,0000;0,812009
613,5000;0,775669
614,0000;0,770522
614,5000;0,745788
615,0000;0,657867
615,5000;0,650634
616,0000;0,66977
616,5000;0,611638
617,0000;0,59254
617,5000;0,515303
618,0000;0,487854
618,5000;0,493728
619,0000;0,440092
619,5000;0,376244
620,0000;0,406558
620,5000;0,346111
621,0000;0,423343
621,5000;0,416081
622,0000;0,335508
622,5000;0,328276
623,0000;0,353834
623,5000;0,203584
624,0000;0,250359
624,5000;0,189922
625,0000;0,171114
625,5000;0,143274
626,0000;0,129043
626,5000;0,0669127
627,0000;0,0632231
627,5000;0,0242776
628,0000;-0,0219751
628,5000;0,0540178
629,0000;0,0179232
629,5000;0,0410252
630,0000;-0,0594176
630,5000;-0,00705034
631,0000;-0,0618469
631,5000;0,0299253
632,0000;-0,00499261
632,5000;-0,11675
633,0000;-0,120501
633,5000;-0,177162
634,0000;-0,138537
634,5000;-0,203415
635,0000;-0,231775
635,5000;-0,202193
636,0000;-0,207947
636,5000;-0,247974
637,0000;-0,274075
637,5000;-0,213212
638,0000;-0,278325
638,5000;-0,293597
639,0000;-0,273171
639,5000;-0,307815
640,0000;-0,281505
640,5000;-0,367824
641,0000;-0,344235
641,5000;-0,358846
642,0000;-0,407815
642,5000;-0,323312
643,0000;-0,457983
643,5000;-0,45011
644,0000;-0,349752
644,5000;-0,460411
645,0000;-0,474606
645,5000;-0,426641
646,0000;-0,527628
646,5000;-0,557105
647,0000;-0,546228
647,5000;-0,503466
648,0000;-0,489405
648,5000;-0,539648
649,0000;-0,598995
649,5000;-0,561941
650,0000;-0,472191
650,5000;-0,546093
651,0000;-0,566624
651,5000;-0,595136
652,0000;-0,566704
652,5000;-0,611671
653,0000;-0,603455
653,5000;-0,570118
654,0000;-0,629761
654,5000;-0,624587
655,0000;-0,649121
655,5000;-0,598842
656,0000;-0,63274
656,5000;-0,644818
657,0000;-0,668684
657,5000;-0,684389
658,0000;-0,63811
658,5000;-0,646429
659,0000;-0,710904
659,5000;-0,703232
660,0000;-0,687819
660,5000;-0,725796
661,0000;-0,741653
661,5000;-0,753723
662,0000;-0,712278
662,5000;-0,731893
663,0000;-0,795505
663,5000;-0,782605
664,0000;-0,751918
664,5000;-0,732272
665,0000;-0,705444
665,5000;-0,725119
666,0000;-0,828794
666,5000;-0,766925
667,0000;-0,816572
667,5000;-0,748146
668,0000;-0,790307
668,5000;-0,804585
669,0000;-0,820198
669,5000;-0,820147
670,0000;-0,802084
670,5000;-0,79653
671,0000;-0,781256
671,5000;-0,79231
672,0000;-0,786466
672,5000;-0,834505
673,0000;-0,781508
673,5000;-0,84599
674,0000;-0,860419
674,5000;-0,847514
675,0000;-0,837416
675,5000;-0,879445
676,0000;-0,812459
676,5000;-0,871629
677,0000;-0,860767
677,5000;-0,891456
678,0000;-0,870695
678,5000;-0,822475
679,0000;-0,919704
679,5000;-0,904812
680,0000;-0,930788
680,5000;-0,86353
681,0000;-0,938811
681,5000;-0,935704
682,0000;-0,912142
682,5000;-0,864195
683,0000;-0,916117
683,5000;-0,927618
684,0000;-0,924076
684,5000;-0,921437
685,0000;-0,889324
685,5000;-0,868575
686,0000;-0,938303
686,5000;-0,92028
687,0000;-0,937602
687,5000;-0,914856
688,0000;-0,949482
688,5000;-0,867553
689,0000;-0,944169
689,5000;-0,980192
690,0000;-0,964137
690,5000;-0,895829
691,0000;-0,932022
691,5000;-0,939159
692,0000;-0,923884
692,5000;-0,914456
693,0000;-0,944887
693,5000;-0,908571
694,0000;-0,940028
694,5000;-0,967712
695,0000;-0,963057
695,5000;-0,94842
696,0000;-0,977264
696,5000;-0,947734
697,0000;-0,933717
697,5000;-0,920752
698,0000;-0,951376
698,5000;-0,938475
699,0000;-0,967427
699,5000;-0,940347
700,0000;-0,9755
700,5000;-0,975542
701,0000;-1,00369
701,5000;-0,978325
702,0000;-0,997847
702,5000;-0,979259
703,0000;-0,91442
703,5000;-0,993963
704,0000;-1,0009
704,5000;-0,979035
705,0000;-0,977563
705,5000;-0,983697
706,0000;-1,02428
706,5000;-0,976298
707,0000;-1,05399
707,5000;-1,01594
708,0000;-1,02038
708,5000;-1,01237
709,0000;-0,990724
709,5000;-1,02138
710,0000;-0,978807
710,5000;-0,996034
711,0000;-1,0091
711,5000;-0,988443
712,0000;-1,00758
712,5000;-1,04465
713,0000;-0,995043
713,5000;-1,01498
714,0000;-1,02791
714,5000;-1,02048
715,0000;-1,00004
715,5000;-1,00156
716,0000;-0,963329
716,5000;-0,985282
717,0000;-1,01725
717,5000;-1,00048
718,0000;-1,03334
718,5000;-0,994974
719,0000;-1,0405
719,5000;-1,0538
720,0000;-1,00425
720,5000;-1,07833
721,0000;-1,0504
721,5000;-1,04852
722,0000;-0,989401
722,5000;-0,997186
723,0000;-1,01703
723,5000;-1,02408
724,0000;-0,99078
724,5000;-0,978396
725,0000;-1,05461
725,5000;-1,00662
726,0000;-1,0407
726,5000;-0,968679
727,0000;-1,02011
727,5000;-1,0043
728,0000;-1,06858
728,5000;-0,977546
729,0000;-1,01096
729,5000;-0,996652
730,0000;-1,01414
730,5000;-1,02584
731,0000;-0,99076
731,5000;-1,01306
732,0000;-0,990415
732,5000;-1,00382
733,0000;-1,01063
733,5000;-1,06211
734,0000;-1,05776
734,5000;-1,01211
735,0000;-0,981902
735,5000;-1,02143
736,0000;-1,04123
736,5000;-1,03141
737,0000;-1,02767
737,5000;-1,03939
738,0000;-1,05152
738,5000;-1,03194
739,0000;-1,00704
739,5000;-1,03202
740,0000;-1,02001
740,5000;-1,03232
741,0000;-1,04196
741,5000;-1,0583
742,0000;-1,04622
742,5000;-1,0419
743,0000;-1,05231
743,5000;-1,05599
744,0000;-1,04504
744,5000;-0,999988
745,0000;-1,06185
745,5000;-1,04348
746,0000;-1,02791
746,5000;-1,0671
747,0000;-1,07114
747,5000;-1,02406
748,0000;-1,05097
748,5000;-1,05717
749,0000;-1,03779
749,5000;-1,02756
750,0000;-1,02574
750,5000;-1,05344
751,0000;-1,03804
751,5000;-1,02416
752,0000;-1,08809
752,5000;-1,04702
753,0000;-1,07798
753,5000;-1,06772
754,0000;-1,05113
754,5000;-1,05536
755,0000;-1,0617
755,5000;-1,02888
756,0000;-1,01576
756,5000;-1,0467
757,0000;-1,01975
757,5000;-1,03564
758,0000;-1,08672
758,5000;-1,05379
759,0000;-1,03179
759,5000;-1,04726
760,0000;-1,02843
760,5000;-1,06838
761,0000;-1,0158
761,5000;-1,06946
762,0000;-1,10201
762,5000;-1,06722
763,0000;-1,06239
763,5000;-1,07473
764,0000;-1,06449
764,5000;-1,06606
765,0000;-1,01017
765,5000;-1,01756
766,0000;-1,10208
766,5000;-1,0633
767,0000;-1,03215
767,5000;-1,01396
768,0000;-1,09646
768,5000;-1,03222
769,0000;-1,03245
769,5000;-1,05479
770,0000;-1,0711
770,5000;-0,989534
771,0000;-1,06975
771,5000;-1,07574
772,0000;-1,05382
772,5000;-1,01612
773,0000;-1,0113
773,5000;-1,02028
774,0000;-1,0528
774,5000;-1,07226
775,0000;-1,00969
775,5000;-1,04053
776,0000;-1,05382
776,5000;-1,07222
777,0000;-1,04095
777,5000;-1,08055
778,0000;-1,05215
778,5000;-1,09941
779,0000;-1,06313
779,5000;-0,998453
780,0000;-1,0787
780,5000;-1,0973
781,0000;-1,0609
781,5000;-1,04076
782,0000;-1,07917
782,5000;-1,01272
783,0000;-1,07612
783,5000;-1,05164
784,0000;-1,04857
784,5000;-1,07582
785,0000;-1,04361
785,5000;-1,0075
786,0000;-1,05614
786,5000;-1,06618
787,0000;-1,0619
787,5000;-1,06211
788,0000;-0,976396
788,5000;-1,05718
789,0000;-1,04788
789,5000;-1,07194
790,0000;-1,04315
790,5000;-1,07729
791,0000;-1,07538
791,5000;-1,04402
792,0000;-1,06603
792,5000;-1,04666
793,0000;-1,02761
793,5000;-1,04458
794,0000;-1,04169
794,5000;-1,0305
795,0000;-1,04744
795,5000;-1,04042
796,0000;-1,04364
796,5000;-1,04271
797,0000;-1,10952
797,5000;-1,04683
