XYDATA;PWO_320_900nm.jws
320,0000;2,13151
320,5000;1,17914
321,0000;0,866012
321,5000;0,70767
322,0000;1,62696
322,5000;1,16169
323,0000;1,76874
323,5000;1,39003
324,0000;0,818648
324,5000;1,2072
325,0000;1,62948
325,5000;0,613036
326,0000;2,4574
326,5000;1,26323
327,0000;1,37723
327,5000;0,739404
328,0000;1,4522
328,5000;1,34301
329,0000;1,84743
329,5000;1,86393
330,0000;2,14474
330,5000;1,72218
331,0000;1,08735
331,5000;2,15599
332,0000;1,54778
332,5000;1,73097
333,0000;1,63312
333,5000;1,45155
334,0000;1,56712
334,5000;1,324
335,0000;2,24068
335,5000;2,90022
336,0000;1,89959
336,5000;2,87905
337,0000;1,66165
337,5000;1,4735
338,0000;3,20331
338,5000;2,53228
339,0000;2,7472
339,5000;3,62645
340,0000;3,33305
340,5000;2,83987
341,0000;3,71562
341,5000;3,26007
342,0000;3,2769
342,5000;2,79117
343,0000;1,89465
343,5000;3,43379
344,0000;3,63117
344,5000;3,48301
345,0000;3,37687
345,5000;4,38288
346,0000;3,61006
346,5000;5,35706
347,0000;3,92424
347,5000;3,98772
348,0000;4,50546
348,5000;6,32616
349,0000;5,26968
349,5000;4,33736
350,0000;5,60479
350,5000;5,30666
351,0000;5,14873
351,5000;4,90356
352,0000;5,62867
352,5000;6,52549
353,0000;7,47228
353,5000;6,04414
354,0000;6,89177
354,5000;6,8672
355,0000;6,86775
355,5000;5,42381
356,0000;7,89256
356,5000;8,47194
357,0000;8,42371
357,5000;8,494
358,0000;7,9358
358,5000;7,56949
359,0000;6,26046
359,5000;8,21187
360,0000;8,42264
360,5000;7,35246
361,0000;7,60118
361,5000;10,5841
362,0000;9,9503
362,5000;8,35898
363,0000;10,6542
363,5000;9,27782
364,0000;8,89613
364,5000;10,9751
365,0000;12,9591
365,5000;11,4411
366,0000;9,59775
366,5000;12,2942
367,0000;12,8182
367,5000;11,7362
368,0000;10,4698
368,5000;11,1545
369,0000;14,5997
369,5000;14,5935
370,0000;12,2181
370,5000;11,8417
371,0000;13,1029
371,5000;12,7433
372,0000;12,9845
372,5000;16,3813
373,0000;14,396
373,5000;15,795
374,0000;15,4914
374,5000;15,8597
375,0000;13,1464
375,5000;13,8716
376,0000;14,9877
376,5000;16,9452
377,0000;17,688
377,5000;16,9739
378,0000;17,1605
378,5000;16,8338
379,0000;17,6938
379,5000;20,6856
380,0000;17,6898
380,5000;19,9501
381,0000;17,6495
381,5000;19,194
382,0000;19,1062
382,5000;19,8484
383,0000;21,2473
383,5000;22,913
384,0000;23,1542
384,5000;23,5616
385,0000;19,42
385,5000;24,812
386,0000;22,6388
386,5000;23,1215
387,0000;21,3086
387,5000;21,9467
388,0000;24,3152
388,5000;24,0692
389,0000;22,1021
389,5000;25,2963
390,0000;25,1022
390,5000;23,2371
391,0000;26,47
391,5000;26,1886
392,0000;27,6254
392,5000;26,9852
393,0000;22,5817
393,5000;28,8734
394,0000;28,1931
394,5000;27,2176
395,0000;30,0706
395,5000;29,5719
396,0000;26,1731
396,5000;28,112
397,0000;28,6161
397,5000;29,2556
398,0000;33,9956
398,5000;29,6714
399,0000;32,9151
399,5000;33,0329
400,0000;32,0661
400,5000;34,2536
401,0000;35,4717
401,5000;37,4067
402,0000;36,0606
402,5000;33,6222
403,0000;34,9047
403,5000;35,2305
404,0000;35,8763
404,5000;33,733
405,0000;38,9783
405,5000;36,1073
406,0000;33,5439
406,5000;32,1311
407,0000;37,9043
407,5000;36,3805
408,0000;38,1955
408,5000;37,6281
409,0000;37,6281
409,5000;38,3702
410,0000;37,6683
410,5000;37,9443
411,0000;44,6568
411,5000;40,0762
412,0000;40,052
412,5000;39,5941
413,0000;35,0263
413,5000;39,5268
414,0000;38,2416
414,5000;42,9235
415,0000;44,8247
415,5000;40,9844
416,0000;43,8549
416,5000;41,5801
417,0000;42,9615
417,5000;38,9181
418,0000;45,8774
418,5000;44,6478
419,0000;41,1886
419,5000;45,3202
420,0000;43,9105
420,5000;41,9691
421,0000;42,427
421,5000;47,142
422,0000;47,927
422,5000;48,6045
423,0000;41,0838
423,5000;44,825
424,0000;44,3765
424,5000;45,1728
425,0000;44,939
425,5000;43,0141
426,0000;45,5043
426,5000;43,1997
427,0000;47,361
427,5000;43,9255
428,0000;45,0975
428,5000;50,6649
429,0000;48,9217
429,5000;45,5119
430,0000;44,4158
430,5000;43,6413
431,0000;44,6857
431,5000;48,063
432,0000;41,895
432,5000;47,1775
433,0000;47,5344
433,5000;45,265
434,0000;46,1178
434,5000;50,1703
435,0000;50,0332
435,5000;46,1461
436,0000;46,531
436,5000;42,2537
437,0000;47,6377
437,5000;46,0896
438,0000;42,2729
438,5000;45,757
439,0000;47,7692
439,5000;45,527
440,0000;47,205
440,5000;45,3464
441,0000;46,7159
441,5000;48,2171
442,0000;47,8794
442,5000;49,9048
443,0000;46,5637
443,5000;45,2935
444,0000;43,8076
444,5000;47,3224
445,0000;47,2165
445,5000;43,351
446,0000;47,2807
446,5000;44,3813
447,0000;44,9624
447,5000;43,2
448,0000;44,4032
448,5000;46,4878
449,0000;46,0562
449,5000;41,6004
450,0000;41,3536
450,5000;41,9068
451,0000;45,5888
451,5000;42,2045
452,0000;41,5204
452,5000;39,186
453,0000;42,488
453,5000;43,1615
454,0000;42,4051
454,5000;38,0912
455,0000;40,7798
455,5000;40,1692
456,0000;39,3883
456,5000;43,6681
457,0000;37,219
457,5000;44,4453
458,0000;39,2113
458,5000;42,5203
459,0000;40,1938
459,5000;40,2878
460,0000;38,2816
460,5000;39,445
461,0000;42,3964
461,5000;38,4354
462,0000;37,8762
462,5000;38,3604
463,0000;38,988
463,5000;42,1441
464,0000;33,5084
464,5000;35,8456
465,0000;34,0957
465,5000;40,1743
466,0000;35,7306
466,5000;35,2453
467,0000;33,1277
467,5000;36,4062
468,0000;32,7134
468,5000;32,4045
469,0000;35,7551
469,5000;36,078
470,0000;37,1702
470,5000;33,7687
471,0000;36,3725
471,5000;37,8119
472,0000;31,3536
472,5000;28,4886
473,0000;32,9989
473,5000;37,4146
474,0000;32,8792
474,5000;31,7813
475,0000;31,5719
475,5000;30,9222
476,0000;29,2272
476,5000;32,1925
477,0000;27,6526
477,5000;32,1758
478,0000;32,811
478,5000;29,8935
479,0000;29,5965
479,5000;28,0982
480,0000;28,3298
480,5000;27,6658
481,0000;32,0696
481,5000;26,4221
482,0000;28,6862
482,5000;26,3631
483,0000;27,3309
483,5000;23,5616
484,0000;26,0287
484,5000;27,3717
485,0000;26,4369
485,5000;24,5897
486,0000;27,0587
486,5000;29,4183
487,0000;23,831
487,5000;26,9294
488,0000;24,9582
488,5000;22,9551
489,0000;25,5616
489,5000;24,4174
490,0000;25,0692
490,5000;26,8306
491,0000;26,5704
491,5000;24,1302
492,0000;24,955
492,5000;22,6433
493,0000;22,6131
493,5000;28,3707
494,0000;25,281
494,5000;24,3484
495,0000;23,6088
495,5000;22,4943
496,0000;26,1271
496,5000;20,8246
497,0000;22,1086
497,5000;21,4296
498,0000;19,7389
498,5000;19,558
499,0000;20,2049
499,5000;22,2522
500,0000;22,2004
500,5000;20,6839
501,0000;21,218
501,5000;18,3298
502,0000;20,0418
502,5000;20,6603
503,0000;18,9597
503,5000;18,7919
504,0000;17,5664
504,5000;18,2173
505,0000;17,1008
505,5000;18,0138
506,0000;15,7414
506,5000;15,7679
507,0000;16,4632
507,5000;19,6719
508,0000;16,4315
508,5000;14,9116
509,0000;15,3029
509,5000;15,1395
510,0000;15,8821
510,5000;15,9767
511,0000;14,7786
511,5000;15,149
512,0000;16,8395
512,5000;16,1879
513,0000;15,0786
513,5000;16,1199
514,0000;13,2054
514,5000;13,2217
515,0000;14,7647
515,5000;13,8341
516,0000;11,6392
516,5000;14,8365
517,0000;13,0456
517,5000;14,4539
518,0000;14,3803
518,5000;14,7587
519,0000;14,7717
519,5000;14,8892
520,0000;15,2444
520,5000;14,9687
521,0000;14,8138
521,5000;14,4208
522,0000;14,5941
522,5000;13,8168
523,0000;16,1056
523,5000;12,4575
524,0000;14,0737
524,5000;13,5493
525,0000;13,6331
525,5000;12,8359
526,0000;12,1741
526,5000;13,1061
527,0000;12,6979
527,5000;13,8638
528,0000;11,9079
528,5000;11,5566
529,0000;13,5116
529,5000;13,6733
530,0000;13,6562
530,5000;11,8525
