Created as New Dataset,
nm,%T
700.0,77.64
699.0,77.70
698.0,77.69
697.0,77.68
696.0,77.63
695.0,77.69
694.0,77.62
693.0,77.64
692.0,77.64
691.0,77.62
690.0,77.62
689.0,77.65
688.0,77.65
687.0,77.59
686.0,77.57
685.0,77.66
684.0,77.61
683.0,77.52
682.0,77.57
681.0,77.62
680.0,77.53
679.0,77.57
678.0,77.62
677.0,77.49
676.0,77.65
675.0,77.60
674.0,77.64
673.0,77.48
672.0,77.57
671.0,77.54
670.0,77.62
669.0,77.57
668.0,77.52
667.0,77.59
666.0,77.59
665.0,77.51
664.0,77.53
663.0,77.54
662.0,77.57
661.0,77.50
660.0,77.52
659.0,77.54
658.0,77.47
657.0,77.45
656.0,77.49
655.0,77.43
654.0,77.48
653.0,77.53
652.0,77.48
651.0,77.45
650.0,77.53
649.0,77.47
648.0,77.46
647.0,77.34
646.0,77.40
645.0,77.43
644.0,77.39
643.0,77.46
642.0,77.44
641.0,77.40
640.0,77.37
639.0,77.39
638.0,77.42
637.0,77.41
636.0,77.40
635.0,77.37
634.0,77.35
633.0,77.39
632.0,77.32
631.0,77.41
630.0,77.38
629.0,77.27
628.0,77.29
627.0,77.32
626.0,77.33
625.0,77.40
624.0,77.30
623.0,77.32
622.0,77.33
621.0,77.33
620.0,77.28
619.0,77.30
618.0,77.30
617.0,77.29
616.0,77.27
615.0,77.22
614.0,77.17
613.0,77.18
612.0,77.24
611.0,77.20
610.0,77.18
609.0,77.21
608.0,77.21
607.0,77.17
606.0,77.10
605.0,77.16
604.0,77.11
603.0,77.10
602.0,77.16
601.0,77.15
600.0,77.17
599.0,77.07
598.0,77.09
597.0,77.15
596.0,77.06
595.0,77.08
594.0,77.06
593.0,77.20
592.0,77.10
591.0,77.12
590.0,77.09
589.0,77.06
588.0,77.02
587.0,77.11
586.0,77.09
585.0,77.10
584.0,77.12
583.0,77.07
582.0,77.07
581.0,77.09
580.0,77.01
579.0,77.05
578.0,77.00
577.0,77.05
576.0,76.98
575.0,76.97
574.0,76.97
573.0,76.98
572.0,76.95
571.0,77.00
570.0,76.91
569.0,77.01
568.0,76.85
567.0,76.91
566.0,77.03
565.0,76.87
564.0,76.86
563.0,76.90
562.0,76.81
561.0,76.78
560.0,76.92
559.0,76.80
558.0,76.78
557.0,76.84
556.0,76.87
555.0,76.76
554.0,76.76
553.0,76.80
552.0,76.78
551.0,76.80
550.0,76.82
549.0,76.78
548.0,76.74
547.0,76.75
546.0,76.75
545.0,76.77
544.0,76.68
543.0,76.76
542.0,76.69
541.0,76.65
540.0,76.72
539.0,76.63
538.0,76.68
537.0,76.56
536.0,76.58
535.0,76.65
534.0,76.64
533.0,76.62
532.0,76.59
