Created as New Dataset,
nm,%T
700.0,81.03
699.0,81.07
698.0,81.05
697.0,81.07
696.0,81.08
695.0,81.07
694.0,81.03
693.0,81.02
692.0,80.98
691.0,81.03
690.0,81.02
689.0,81.00
688.0,81.06
687.0,81.05
686.0,81.03
685.0,81.05
684.0,80.99
683.0,81.00
682.0,80.97
681.0,81.06
680.0,81.02
679.0,80.98
678.0,81.11
677.0,80.99
676.0,81.11
675.0,81.11
674.0,81.01
673.0,81.04
672.0,81.01
671.0,81.00
670.0,81.00
669.0,81.13
668.0,80.94
667.0,81.06
666.0,81.03
665.0,81.09
664.0,80.97
663.0,81.10
662.0,81.05
661.0,81.01
660.0,81.02
659.0,81.05
658.0,81.03
657.0,80.98
656.0,80.96
655.0,80.98
654.0,81.02
653.0,81.03
652.0,80.98
651.0,80.97
650.0,81.01
649.0,81.02
648.0,80.97
647.0,80.91
646.0,81.00
645.0,80.96
644.0,81.05
643.0,80.87
642.0,80.95
641.0,80.96
640.0,80.98
639.0,80.89
638.0,80.95
637.0,80.91
636.0,80.95
635.0,80.89
634.0,80.87
633.0,80.93
632.0,80.87
631.0,80.93
630.0,80.92
629.0,80.84
628.0,80.92
627.0,80.87
626.0,80.90
625.0,80.95
624.0,80.91
623.0,80.90
622.0,80.87
621.0,80.89
620.0,80.89
619.0,80.92
618.0,80.92
617.0,80.85
616.0,80.87
615.0,80.80
614.0,80.81
613.0,80.77
612.0,80.77
611.0,80.81
610.0,80.80
609.0,80.89
608.0,80.85
607.0,80.78
606.0,80.71
605.0,80.82
604.0,80.81
603.0,80.81
602.0,80.84
601.0,80.83
600.0,80.82
599.0,80.84
598.0,80.81
597.0,80.86
596.0,80.80
595.0,80.83
594.0,80.79
593.0,80.90
592.0,80.87
591.0,80.86
590.0,80.80
589.0,80.78
588.0,80.76
587.0,80.90
586.0,80.83
585.0,80.80
584.0,80.87
583.0,80.88
582.0,80.91
581.0,80.88
580.0,80.85
579.0,80.88
578.0,80.81
577.0,80.87
576.0,80.85
575.0,80.81
574.0,80.84
573.0,80.85
572.0,80.84
571.0,80.87
570.0,80.82
569.0,80.71
568.0,80.74
567.0,80.83
566.0,80.88
565.0,80.73
564.0,80.71
563.0,80.75
562.0,80.76
561.0,80.77
560.0,80.80
559.0,80.79
558.0,80.67
557.0,80.68
556.0,80.76
555.0,80.64
554.0,80.70
553.0,80.68
552.0,80.64
551.0,80.58
550.0,80.70
549.0,80.63
548.0,80.69
547.0,80.62
546.0,80.59
545.0,80.65
544.0,80.53
543.0,80.62
542.0,80.59
541.0,80.51
540.0,80.57
539.0,80.50
538.0,80.48
537.0,80.44
536.0,80.41
535.0,80.43
534.0,80.38
533.0,80.37
532.0,80.31
531.0,80.19
530.0,80.09
529.0,80.03
528.0,80.01
527.0,79.89
526.0,79.83
525.0,79.67
524.0,79.57
523.0,79.34
522.0,79.10
521.0,78.94
520.0,78.65
519.0,78.27
518.0,78.01
517.0,77.60
516.0,77.17
515.0,76.69
514.0,76.03
513.0,75.41
512.0,74.66
511.0,73.72
510.0,72.73
509.0,71.54
508.0,70.35
507.0,68.78
506.0,67.15
505.0,65.36
504.0,63.39
503.0,61.17
502.0,58.70
501.0,56.06
500.0,53.14
499.0,49.99
498.0,46.70
497.0,43.26
496.0,39.69
495.0,35.94
494.0,32.20
493.0,28.38
492.0,24.70
491.0,21.13
490.0,17.69
489.0,14.46
488.0,11.63
487.0,9.01
486.0,6.85
485.0,5.03
484.0,3.64
483.0,2.49
482.0,1.70
481.0,1.16
480.0,0.78
479.0,0.54
478.0,0.37
477.0,0.23
476.0,0.23
475.0,0.24
474.0,0.25
473.0,0.20
472.0,0.24
471.0,0.25
470.0,0.19
469.0,0.21
468.0,0.20
467.0,0.28
466.0,0.26
465.0,0.30
464.0,0.29
463.0,0.27
462.0,0.16
461.0,0.18
460.0,0.23
459.0,0.15
458.0,0.36
457.0,0.29
456.0,0.21
455.0,0.14
454.0,0.26
453.0,0.23
452.0,0.33
451.0,0.10
450.0,0.14
449.0,0.35
448.0,0.25
447.0,0.27
446.0,0.27
445.0,0.19
444.0,0.22
443.0,0.26
442.0,0.14
