Created as New Dataset,
nm,%T
700.0,74.50
699.0,74.52
698.0,74.52
697.0,74.48
696.0,74.47
695.0,74.53
694.0,74.49
693.0,74.48
692.0,74.47
691.0,74.41
690.0,74.45
689.0,74.46
688.0,74.49
687.0,74.46
686.0,74.44
685.0,74.48
684.0,74.45
683.0,74.50
682.0,74.43
681.0,74.36
680.0,74.34
679.0,74.26
678.0,74.39
677.0,74.47
676.0,74.44
675.0,74.36
674.0,74.38
673.0,74.26
672.0,74.37
671.0,74.37
670.0,74.29
669.0,74.38
668.0,74.27
667.0,74.34
666.0,74.35
665.0,74.32
664.0,74.26
663.0,74.42
662.0,74.31
661.0,74.25
660.0,74.28
659.0,74.27
658.0,74.31
657.0,74.20
656.0,74.23
655.0,74.26
654.0,74.22
653.0,74.28
652.0,74.22
651.0,74.26
650.0,74.23
649.0,74.25
648.0,74.23
647.0,74.15
646.0,74.21
645.0,74.22
644.0,74.24
643.0,74.22
642.0,74.22
641.0,74.23
640.0,74.21
639.0,74.22
638.0,74.17
637.0,74.17
636.0,74.17
635.0,74.17
634.0,74.10
633.0,74.18
632.0,74.17
631.0,74.14
630.0,74.12
629.0,74.08
628.0,74.10
627.0,74.15
626.0,74.07
625.0,74.12
624.0,74.09
623.0,74.03
622.0,74.06
621.0,74.07
620.0,74.01
619.0,74.09
618.0,74.10
617.0,74.03
616.0,74.07
615.0,74.00
614.0,73.90
613.0,73.95
612.0,73.92
611.0,73.90
610.0,73.98
609.0,73.95
608.0,73.94
607.0,73.85
606.0,73.84
605.0,73.89
604.0,73.87
603.0,73.87
602.0,73.96
601.0,73.91
600.0,73.91
599.0,73.84
598.0,73.83
597.0,73.88
596.0,73.85
595.0,73.87
594.0,73.84
593.0,73.91
592.0,73.84
591.0,73.82
590.0,73.80
589.0,73.77
588.0,73.74
587.0,73.76
586.0,73.75
585.0,73.79
584.0,73.79
583.0,73.69
582.0,73.72
581.0,73.70
580.0,73.66
579.0,73.66
578.0,73.64
577.0,73.62
576.0,73.58
575.0,73.52
574.0,73.53
573.0,73.57
572.0,73.52
571.0,73.57
570.0,73.47
569.0,73.47
568.0,73.40
567.0,73.44
566.0,73.48
565.0,73.40
564.0,73.34
563.0,73.34
562.0,73.36
561.0,73.32
560.0,73.41
559.0,73.38
558.0,73.35
557.0,73.31
556.0,73.33
555.0,73.18
554.0,73.24
553.0,73.19
552.0,73.32
551.0,73.21
550.0,73.21
549.0,73.20
548.0,73.29
547.0,73.10
546.0,73.17
545.0,73.26
544.0,73.15
543.0,73.22
542.0,73.11
541.0,73.16
540.0,73.13
539.0,73.13
538.0,73.11
537.0,73.12
536.0,73.17
535.0,73.07
534.0,73.06
533.0,73.03
532.0,73.09
531.0,72.97
530.0,73.00
529.0,72.96
528.0,73.05
527.0,73.02
526.0,73.00
525.0,72.89
524.0,72.90
523.0,73.00
522.0,72.88
521.0,72.88
520.0,72.91
519.0,72.87
518.0,72.85
517.0,72.78
516.0,72.86
515.0,72.82
514.0,72.80
513.0,72.72
512.0,72.79
511.0,72.73
510.0,72.75
509.0,72.67
508.0,72.73
507.0,72.65
506.0,72.61
505.0,72.62
504.0,72.60
503.0,72.69
502.0,72.59
501.0,72.63
500.0,72.52
499.0,72.54
498.0,72.58
497.0,72.52
496.0,72.49
495.0,72.50
494.0,72.42
493.0,72.50
492.0,72.43
491.0,72.51
490.0,72.32
489.0,72.37
488.0,72.42
487.0,72.24
486.0,72.19
485.0,72.30
484.0,72.36
483.0,72.29
482.0,72.23
481.0,72.15
480.0,72.18
479.0,72.09
478.0,72.10
477.0,72.03
476.0,72.14
475.0,72.18
474.0,72.07
473.0,71.94
472.0,72.00
471.0,72.01
470.0,72.06
469.0,72.03
468.0,71.94
467.0,71.97
466.0,71.82
465.0,71.73
464.0,71.74
463.0,71.73
462.0,71.81
461.0,71.51
460.0,71.50
459.0,71.66
458.0,71.71
457.0,71.57
456.0,71.57
455.0,71.37
454.0,71.33
453.0,71.31
452.0,71.45
451.0,71.29
450.0,71.30
449.0,71.30
448.0,71.16
447.0,71.29
446.0,71.09
445.0,71.04
444.0,71.12
443.0,70.99
442.0,71.00
441.0,71.09
440.0,70.81
439.0,70.80
438.0,70.70
437.0,70.77
436.0,70.64
435.0,70.60
434.0,70.48
433.0,70.51
432.0,70.28
431.0,70.38
430.0,70.29
429.0,70.20
428.0,70.10
427.0,70.27
426.0,70.15
425.0,69.95
424.0,69.83
423.0,69.59
422.0,69.75
421.0,69.58
420.0,69.69
419.0,69.52
418.0,69.43
417.0,69.35
416.0,69.39
415.0,69.25
414.0,69.15
413.0,69.04
412.0,69.00
411.0,68.90
410.0,68.83
409.0,68.74
408.0,68.59
407.0,68.38
406.0,68.32
405.0,68.31
404.0,68.13
403.0,68.02
402.0,67.90
401.0,67.71
400.0,67.62
399.0,67.50
398.0,67.37
397.0,67.26
396.0,67.02
395.0,67.03
394.0,66.75
393.0,66.54
392.0,66.44
391.0,66.23
390.0,66.15
389.0,66.00
388.0,65.76
387.0,65.64
386.0,65.47
385.0,64.64
384.0,65.73
383.0,64.04
382.0,66.42
381.0,65.34
380.0,64.55
379.0,63.88
378.0,64.27
377.0,63.24
376.0,64.22
375.0,63.98
374.0,64.03
373.0,63.31
372.0,63.00
371.0,62.99
370.0,62.48
369.0,63.32
368.0,62.31
367.0,62.56
366.0,61.87
365.0,62.30
364.0,61.00
363.0,61.24
362.0,61.71
361.0,60.87
360.0,60.97
359.0,60.42
358.0,60.13
357.0,59.69
356.0,59.66
355.0,59.41
354.0,58.45
353.0,58.81
352.0,57.77
351.0,57.00
350.0,57.16
349.0,55.86
348.0,55.57
347.0,55.04
346.0,53.25
345.0,52.79
344.0,51.09
343.0,49.15
342.0,47.28
341.0,45.32
340.0,44.09
339.0,40.63
338.0,36.25
337.0,34.55
336.0,31.49
335.0,28.15
334.0,21.88
333.0,18.46
332.0,13.89
331.0,10.47
330.0,6.65
329.0,4.22
328.0,3.27
327.0,1.63
326.0,1.01
325.0,0.70
324.0,0.55
323.0,0.58
322.0,0.07
321.0,0.88
320.0,0.31
319.0,0.77
318.0,0.32
317.0,0.26
316.0,0.49
315.0,0.84
314.0,0.78
313.0,0.97
312.0,0.48
311.0,0.60
310.0,0.59
309.0,0.90
308.0,0.03
307.0,0.85
306.0,0.29
305.0,1.08
304.0,0.30
303.0,0.57
302.0,0.14
301.0,0.30
300.0,0.26
299.0,0.36
298.0,0.28
297.0,0.08
296.0,0.46
295.0,0.72
294.0,0.67
293.0,0.21
292.0,0.28
291.0,0.61
290.0,0.62
289.0,0.83
288.0,1.15
287.0,0.70
286.0,0.51
285.0,0.64
284.0,-0.06
283.0,0.16
282.0,0.42
281.0,0.48
280.0,0.20
279.0,0.00
278.0,0.56
277.0,0.90
276.0,0.74
275.0,-0.47
274.0,0.17
273.0,-0.22
272.0,0.81
271.0,0.50
270.0,-0.31
269.0,0.62
268.0,0.60
267.0,0.35
266.0,0.13
265.0,0.38
264.0,0.27
263.0,0.41
262.0,0.21
261.0,-0.02
260.0,-0.02
259.0,0.26
258.0,-0.07
257.0,0.74
256.0,-0.02
255.0,0.66
254.0,-0.25
253.0,0.57
252.0,0.96
251.0,-0.51
250.0,0.47
249.0,0.42
248.0,0.21
247.0,0.27
246.0,0.28
245.0,0.11
244.0,0.40
243.0,0.12
242.0,-0.09
241.0,0.67
240.0,0.22
239.0,0.29
238.0,0.36
237.0,0.10
236.0,0.55
235.0,0.18
234.0,0.33
233.0,0.34
232.0,-0.04
231.0,0.08
230.0,0.21
229.0,0.21
228.0,0.31
227.0,0.73
226.0,0.57
225.0,0.54
224.0,0.56
223.0,0.48
